entity_name,entity_type,country,aum_usd,contact_count,transaction_count,completeness_score,red_flags
Ireland Strategic Investment Fund,Sovereign Wealth Fund,Ireland,9257010000,1,0,0.2262,no_transactions_or_rfps
Ferrum College,Endowment,United States,549433688,1,0,0.2262,no_transactions_or_rfps
Oregon Health and Science University Foundation,Endowment,United States,1616758000,1,0,0.2262,no_transactions_or_rfps
Development Bank of Ethiopia,Development Bank,Ethiopia,2426984274,1,0,0.2262,no_transactions_or_rfps
Augsburg College,Endowment,United States,220780212,1,0,0.2243,no_transactions_or_rfps
LICR Fund,Endowment,United States,1762006691,1,0,0.2243,no_transactions_or_rfps
Northern Michigan University,Endowment,United States,511017336,1,0,0.2243,no_transactions_or_rfps
Central Bank of Iraq,Central Bank,Iraq,83250500000,1,0,0.2243,no_transactions_or_rfps
Small Industries Development Bank of India,Development Bank,India,48537013830,1,0,0.2243,no_transactions_or_rfps
Arta Finance,Asset Manager,United States,7256827,1,0,0.2243,no_transactions_or_rfps
Columbia College,Endowment,United States,500984193,1,0,0.2224,no_transactions_or_rfps
Cottey College,Endowment,United States,116617263,1,0,0.2224,no_transactions_or_rfps
Kenyon College,Endowment,United States,1111805710,1,0,0.2224,no_transactions_or_rfps
New York Community Trust,Endowment,United States,2900000000,1,0,0.2224,no_transactions_or_rfps
Bank of Japan,Central Bank,Japan,5156691776599,1,0,0.2224,no_transactions_or_rfps
Australian National University,Endowment,Australia,3558256470,1,0,0.2205,no_transactions_or_rfps
Chatham University,Endowment,United States,222800581,1,0,0.2205,no_transactions_or_rfps
Florida Institute of Technology,Endowment,United States,245015032,1,0,0.2205,no_transactions_or_rfps
Bank of Estonia,Central Bank,Estonia,10455500000,1,0,0.2205,no_transactions_or_rfps
Anima SGR.p.A.,Asset Manager,Italy,2710508282,1,0,0.2205,no_transactions_or_rfps
Louisiana Education Quality Trust Fund,Sovereign Wealth Fund,United States,1502650000,1,0,0.2186,no_transactions_or_rfps
Arcadia University,Endowment,United States,270114000,1,0,0.2186,no_transactions_or_rfps
Muskingum University,Endowment,United States,151775906,1,0,0.2186,no_transactions_or_rfps
Brazilian Development Bank,Development Bank,Brazil,147970878945,1,0,0.2186,no_transactions_or_rfps
Affiliated Managers Group,Asset Manager,United States,9059600000,1,0,0.2186,no_transactions_or_rfps
National Museum of the Royal Navy,Endowment,United Kingdom,274342581,1,0,0.2185,no_transactions_or_rfps
Chile Pension Reserve Fund,Sovereign Wealth Fund,Chile,6450928341.54,1,0,0.2167,no_transactions_or_rfps
Drury University,Endowment,United States,188773005,1,0,0.2167,no_transactions_or_rfps
Northwood University,Endowment,United States,203257987,1,0,0.2167,no_transactions_or_rfps
Oxford University Endowment,Endowment,United Kingdom,5390900666,1,0,0.2167,no_transactions_or_rfps
Central Bank of China,Central Bank,Taiwan,640818000000,1,0,0.2167,no_transactions_or_rfps
Central Bank of Ecuador,Central Bank,Ecuador,7474890228.5,1,0,0.2167,no_transactions_or_rfps
Ahmed Salem Bugshan Group,Family Office,Saudi Arabia,26663837,1,0,0.2155,no_transactions_or_rfps
AllianceBernstein L.P.,Asset Manager,United States,1989713000,2,0,0.2152,no_transactions_or_rfps
Heritage and Stabilization Fund,Sovereign Wealth Fund,Trinidad and Tobago,5623159544,1,0,0.2148,no_transactions_or_rfps
Cedarville University,Endowment,United States,224265347,1,0,0.2148,no_transactions_or_rfps
College of St. Scholastica,Endowment,United States,168795309,1,0,0.2148,no_transactions_or_rfps
Molloy College,Endowment,United States,207462613,1,0,0.2148,no_transactions_or_rfps
Adrigo Asset Management,Asset Manager,Sweden,78285377,1,0,0.2148,no_transactions_or_rfps
Fairleigh Dickinson University,Endowment,United States,464494000,1,0,0.2129,no_transactions_or_rfps
Institute for Advanced Study,Endowment,United States,1323473928,1,0,0.2129,no_transactions_or_rfps
Bank of Thailand,Central Bank,Thailand,195985094111,1,0,0.2129,no_transactions_or_rfps
Central Bank of Liberia,Central Bank,Liberia,402938707.79,1,0,0.2129,no_transactions_or_rfps
ARA Asset Management Limited,Asset Manager,Singapore,3549112000,1,0,0.2129,no_transactions_or_rfps
"Apollo Management, L.P.",Asset Manager,United States,7348244000,1,0,0.2126,no_transactions_or_rfps
Carroll University,Endowment,United States,131846381,1,0,0.2110,no_transactions_or_rfps
Central Bank of Uruguay,Central Bank,Uruguay,21223400000,1,0,0.2110,no_transactions_or_rfps
Acadia University,Endowment,Canada,304114000,1,0,0.2091,no_transactions_or_rfps
Barry University,Endowment,United States,229064899,1,0,0.2091,no_transactions_or_rfps
Choate Rosemary Hall,Endowment,United States,781507671,1,0,0.2091,no_transactions_or_rfps
Delaware State University,Endowment,United States,403070887,1,0,0.2091,no_transactions_or_rfps
Hartwick College,Endowment,United States,142667541,1,0,0.2091,no_transactions_or_rfps
Bank of Mexico,Central Bank,Mexico,201852000000,1,0,0.2091,no_transactions_or_rfps
People's Bank of China,Central Bank,China,5144760000000,1,0,0.2089,no_transactions_or_rfps
Sociedad Estatal de Participaciones Industriales,Sovereign Wealth Fund,Spain,14504549197,1,0,0.2072,no_transactions_or_rfps
Wyoming State Loan and Investment Board,Sovereign Wealth Fund,United States,23314506572,1,0,0.2072,no_transactions_or_rfps
Archdiocese of New Orleans,Endowment,United States,26245229,1,0,0.2072,no_transactions_or_rfps
Laval University,Endowment,Canada,36656000,1,0,0.2072,no_transactions_or_rfps
Open University,Endowment,United Kingdom,818517774,1,0,0.2072,no_transactions_or_rfps
Central Bank of Iceland,Central Bank,Iceland,7267014180.89,1,0,0.2072,no_transactions_or_rfps
Bangladesh Development Bank,Development Bank,Bangladesh,583054469,1,0,0.2072,no_transactions_or_rfps
CDC Group,Development Bank,United Kingdom,7446760000,1,0,0.2072,no_transactions_or_rfps
Endicott College,Endowment,United States,468482984,1,0,0.2053,no_transactions_or_rfps
Bank of Portugal,Central Bank,Portugal,227513000000,1,0,0.2053,no_transactions_or_rfps
Central Bank of Paraguay,Central Bank,Paraguay,7758214041.64,1,0,0.2053,no_transactions_or_rfps
Humber College,Endowment,Canada,810544993,1,0,0.2050,no_transactions_or_rfps
Little Red River Cree Nation Sovereign Wealth Fund,Sovereign Wealth Fund,Canada,28506118,1,0,0.2034,no_transactions_or_rfps
Christian Brothers Investment Services Inc.,Endowment,United States,648239204.78,1,0,0.2034,no_transactions_or_rfps
City University of Hong Kong,Endowment,Hong Kong,502496300,1,0,0.2034,no_transactions_or_rfps
Heriot-Watt University,Endowment,United Kingdom,370212652,1,0,0.2034,no_transactions_or_rfps
Mount Allison University,Endowment,United States,300934355,1,0,0.2034,no_transactions_or_rfps
Carl Bennet AB,Family Office,Sweden,16231055607,1,0,0.2034,no_transactions_or_rfps
Allan Gray Ltd.,Asset Manager,South Africa,172708550900,1,0,0.2034,no_transactions_or_rfps
Hellenic Development Bank,Development Bank,Greece,21330008699,1,0,0.2027,no_transactions_or_rfps
Brookings Institution,Endowment,United States,528999000,1,0,0.2015,no_transactions_or_rfps
Central Piedmont Community College Foundation,Endowment,United States,546391192,1,0,0.2015,no_transactions_or_rfps
DePauw University,Endowment,United States,738321000,1,0,0.2015,no_transactions_or_rfps
Florida A&M University,Endowment,United States,98430706,1,0,0.2015,no_transactions_or_rfps
Louisiana State University System,Endowment,United States,2373033164,1,0,0.2015,no_transactions_or_rfps
Michigan Technological University,Endowment,United States,564672988,1,0,0.2015,no_transactions_or_rfps
Pepperdine University,Endowment,United States,1931158000,1,0,0.2015,no_transactions_or_rfps
Oesterreichische Beteiligungs AG,Sovereign Wealth Fund,Austria,3983315867,1,0,0.1996,no_transactions_or_rfps
State Oil Fund of Azerbaijan,Sovereign Wealth Fund,Azerbaijan,56069700000,1,0,0.1996,no_transactions_or_rfps
Crestlea Foundation,Endowment,United States,17950162,1,0,0.1996,no_transactions_or_rfps
Emmanuel College,Endowment,United States,445147036,1,0,0.1996,no_transactions_or_rfps
Lycoming College,Endowment,United States,298805000,1,0,0.1996,no_transactions_or_rfps
Central Bank of Argentina,Central Bank,Argentina,159567000000,1,0,0.1996,no_transactions_or_rfps
Central Bank of Myanmar,Central Bank,Myanmar,14143100000,1,0,0.1996,no_transactions_or_rfps
Development Bank of Austria,Development Bank,Austria,1466838949,1,0,0.1996,no_transactions_or_rfps
Ghana Minerals Income Investment Fund,Sovereign Wealth Fund,Ghana,310297600,1,0,0.1989,no_transactions_or_rfps
East Tennessee State University,Endowment,United States,644079873.19,1,0,0.1977,no_transactions_or_rfps
Emporia State University Foundation,Endowment,United States,107565158,1,0,0.1977,no_transactions_or_rfps
Flagler College,Endowment,United States,240182513,1,0,0.1977,no_transactions_or_rfps
Maryville University of St. Louis,Endowment,United States,231199275,1,0,0.1977,no_transactions_or_rfps
